	target	clause	context	verb	embedding	factive	tense	genre
31	В общем , следовательно , совершенными при отсутствии интеллектуальной свободы надо считать все те преступления , при которых человек или не знал , что он делал , или , по крайней мере , не был способен принять в расчет то , что должно было бы удержать его от данного действия , именно & # 151 ; его последствия .	что он делал , или , по крайней мере , не был способен принять в расчет то , что должно было бы удержать его от данного действия , именно & # 151 ; его последствия .	['Об этой интеллектуальной свободе, to ecoysion\ncai acoysion cata dianoian**, говорит уже, хотя\nочень кратко и недостаточно, Аристотель в\n&#171;Ethica Eudemia&#187;, II, гл. 7и 9, и\nнесколько подробнее в &#171;Ethica ad\nNicomachum&#187;, III, гл. 2.', 'Она же имеется в\nвиду, когда medicina forensis*** и уголовная\nюстиция спрашивают, находился ли преступник в\nсостоянии свободы и, следовательно,\nвменяемости.']	знал	negation	True	past	philosophy
32	В переводе : Так как первоначальная идея моральности , или основное понятие о верховном моральном законе , выступает со своей особой , но притом отнюдь не логической необходимостью , как в той науке , которая имеет своею целью разъяснить познание нравственного , гак и в действительной жизни , где она обнаруживается частью в суде совести над нашими собственными поступками , частью в нашей моральной оценке поступков других лиц ; так как , далее , с такой же необходимостью и в таком же объеме дают себя знать и многие неотделимые от этой идеи и в ней берущие свое начало основные моральные понятия , как , например , понятие долга и понятие вменения ; и так как все же при том направлении , какому следует современное философское мышление , кажется весьма важным подвергнуть этот вопрос новому исследованию , то Академия желает , чтобы тщательно была обсуждена и разработана следующая тема : Надлежит ли искать источник и основу морали в идее моральности , данной непосредственно в сознании ( или совести ) , и в анализе остальных возникающих из нее основных моральных понятий или же в каком-то ином познавательном принципе ?	и многие неотделимые от этой идеи и в ней берущие свое начало основные моральные понятия , как , например , понятие долга и понятие вменения ; и так как все же при том направлении , какому следует современное философское мышление , кажется весьма важным подвергнуть этот вопрос новому исследованию , то Академия желает , чтобы тщательно была обсуждена и разработана следующая тема : Надлежит ли искать источник и основу морали в идее моральности , данной непосредственно в сознании ( или совести ) , и в анализе остальных возникающих из нее основных моральных понятий или же в каком-то ином познавательном принципе	"['Воля в природе<a\nhref=""#b001"" name=""t001"">001.', ""Предложенная Королевской Академией тема,с\nпредпосланным ей введением, гласит:\n\n   Quum primitiva moralitatis idea, sive de summa\nlege morali principalis notio, sua quadam propria\neaque minime logicae necessitate, turn in ea\ndisciplina appareat, cui propositum est cognitionem\n&#171;toy ethicoy&#187; explicare, turn in vita\npartim in consci-entiae judicio de nostris\nactionibus, partim in censura morali de actionibus\naliorum hominum; quumque complures, quae ab ilia idea\ninseperabiles sunt eamque tanquam originem respiciunt\nnotiones principales ad &#171;to ethicon&#187;\nspectantes, velut officii notio et imputationis,\neadem necessitate eodemque ambitu vim suam exserant\n&#151; et tamen inter eos cursus viasque, quas\nnostrae aetatis meditatio philosophica persequitur,\nmagni momenti esse videatur hoc argumentum ad\ndisputationem revocare &#151; cupit Societas, ut\naccurate haec quaestio perpendatur, et\npertractetur:   \nPhilosophiae moralis fans et fundamentum\nutrum in idea moralitatis, quae immediate\ncontineatur et ceteris notionibus fundamentalibus,\nquae ex ilia prqdeant, explicandis quaerenda sunt\nan in alio cognos'cendi principio?""]"	знать	question	True		philosophy
33	Вообще в христианские века философская этика бессознательно заимствовала свою форму от теологической ; а так как последняя по существу своему повелительна , то и философская выступила в форме предписания и учения об обязанностях , не подозревая в своей невинности , что на это еще нужно получить право где-либо в другом месте , напротив , она воображала , что это и есть ее подлинный и естественный вид .	в своей невинности , что на это еще нужно получить право где-либо в другом месте , напротив , она воображала , что это и есть ее подлинный и естественный вид .	['Понятие это вместе с родственными ему, \nт.е.понятиями закона, заповеди, долженствования \nит.п., взятое в таком безусловном смысле, обязано \nсвоим происхождением теологической морали и до тех пор остается \nчуждым для этики философской, пока не представит законного \nудостоверения, основанного на сущности человеческой природы \nлибо объективного мира.', 'Дотоле я не признаю за ним и его \nродственниками иного происхождения, кроме скрижалей.']	подозревая	negation	False	pres	philosophy
34	Замечание & # 171 ; docendo disco & # 187 ; * * * не всегда оправдывается , напротив , иной раз его можно пародировать таким образом : & # 171 ; Semper docendo nihil disco & # 187 ; * * * * , и даже не вполне лишены основания слова , вложенные Дидро в уста племянника Рамо : & # 171 ; И вы в самом деле думаете , что эти учителя понимают науки , обучением которых они занимаются ?	, что эти учителя понимают науки , обучением которых они занимаются	['Тем не менее можно удивляться, \nчто такое коренное заблуждение пользуется непререкаемым \nгосподством среди кантианцев; впрочем, и то сказать, сочиняя \nбесчисленные трактаты о кантовской философии, они ведь не \nподметили того искажения, какое претерпела &#171;Критика \nчистого разума&#187; во втором издании и вследствие которого она \nпревратилась в лишенную целости, противоречащую самой себе \nкнигу, что обнаружилось в настоящее время и, как мне кажется, \nвполне правильно разъяснено в розенкранцевском предисловии ко \nвторому тому полного собрания сочинений Кента.', 'Надо принять в \nрасчет, что многие ученые, непрестанно уча с кафедры и в книгах, \nимеют мало времени для того, чтобы основательно учиться.']	думаете	question	False	pres	philosophy
35	Замечание & # 171 ; docendo disco & # 187 ; * * * не всегда оправдывается , напротив , иной раз его можно пародировать таким образом : & # 171 ; Semper docendo nihil disco & # 187 ; * * * * , и даже не вполне лишены основания слова , вложенные Дидро в уста племянника Рамо : & # 171 ; И вы в самом деле думаете , что эти учителя понимают науки , обучением которых они занимаются ?	науки , обучением которых они занимаются	['Тем не менее можно удивляться, \nчто такое коренное заблуждение пользуется непререкаемым \nгосподством среди кантианцев; впрочем, и то сказать, сочиняя \nбесчисленные трактаты о кантовской философии, они ведь не \nподметили того искажения, какое претерпела &#171;Критика \nчистого разума&#187; во втором издании и вследствие которого она \nпревратилась в лишенную целости, противоречащую самой себе \nкнигу, что обнаружилось в настоящее время и, как мне кажется, \nвполне правильно разъяснено в розенкранцевском предисловии ко \nвторому тому полного собрания сочинений Кента.', 'Надо принять в \nрасчет, что многие ученые, непрестанно уча с кафедры и в книгах, \nимеют мало времени для того, чтобы основательно учиться.']	понимают	question	True	pres	philosophy
36	И Лихтенберг говорит : & # 171 ; Я уже неоднократно замечал , что специалисты часто не знают самого главного & # 187 ; < a href= '' # b060 '' name= '' t060 '' > 060 .	самого главного & # 187 ; < a href= '' # b060 '' name= '' t060 '' > 060 .	"['Если бы они обладали \nзнаниями в достаточной мере, чтобы обучать им, они бы им не \nобучали&#187;.', '&#151; &#171;Почему же?&#187; &#151; \n&#171;Они посвятили бы свою жизнь на их изучение&#187; (по \nпереводу Гёте, с. 104)<a href=""#b059"" \nname=""t059"">059.']"	знают	negation	True	pres	philosophy
37	Как понимать это странное выражение ?	это странное выражение	"['Именно: в &#171;Критике практического разума&#187;, \nгде он, как сказано, вообще обнаруживает уже меньше строгости и \nметодичности, а к тому же стал смелее благодаря своей уже \nдостигнутой славе, фундамент этики постепенно все более меняет \nсвой характер, готов забыть, что представляет собою простую ткань \nабстрактных сочетаний понятий, и, по-видимому, желает стать \nболее вещественным.', 'Так, например, там на с. 81 (R., с. 163)<a \nhref=""#b070"" name=""t070"">070\n &#171;моральный закон дан будто бы как факт чистого \nразума&#187;.']"	понимать	question	True		philosophy
38	В самом деле : так как здесь оспаривание теоретического утверждения легко могло быть смешано с моральной порочностью , то всякий , даже если он в своем собственном сознании не особенно был осведомлен относительно категорического императива , все-таки предпочитал совсем об этом не высказываться , думая про себя , что у других императив этот , конечно , имеет более сильное развитие и выступает яснее .	про себя , что у других императив этот , конечно , имеет более сильное развитие и выступает яснее .	['Всякий понимает, насколько \nнесомненной должна быть истинность такого учения, которое \nстараются навязать с помощью подобных приемов.', 'Между тем \nименно почтением, какое они внушали, приходится объяснить ту \nпоистине детскую доверчивость, с какой кантианцы принимали \nкатегорический императив и продолжали и впредь относиться к \nнему как к чему-то бесспорно установленному.']	думая	negation	False	pres	philosophy
39	Хор составляли всякого рода профессора философии , с серьезной миной повествовавшие перед своей публикой о бесконечном , об абсолютном и многих иных вещах , о которых они совершенно ничего не могли знать .	.	['Ибо характер добросовестности, \nобщего с читателем искания, какой присущ сочинениям всех \nпрежних философов, здесь исчезает: философских дел мастер этой \nэпохи желает не наставить, а одурачить своего читателя, о чем \nсвидетельствует каждая страница.', 'В качестве героев этого периода \nблещут Фихте и Шеллинг, а наконец, даже и их \nсовершенно недостойный и гораздо ниже этих талантливых господ \nстоящий, неуклюжий, бездарный шарлатан Гегель.']	знать	negation	True		philosophy
40	`` * & # 151 ; был бы ответ . Эти места достаточно выясняют , в каком смысле надо понимать & # 171 ; возможность желать & # 187 ; в кантовском моральном принципе .	& # 171 ; возможность желать & # 187 ; в кантовском моральном принципе .	"['С. 55 (R., с. 49): &#171;&#133; всеобщность закона, \nгласящего, что каждый, считая себя нуждающимся, может обещать, \nчто ему придет в голову,: намерением не сдержать обещания, \nсделала бы просто невозможными и это обещание, и цель, которой \nхотят с помощью его достигнуть, так как никто не стал бы \nверить&#133;&#187;<a href=""#b088"" \nname=""t088"">088\n На с. 56по отношению к принципу бессердечия \nговорится: &#171;&#133; воля, которая пришла бы к такому \nзаключению, противоречила бы самой себе, так как все же иногда \nмогут быть случаи, когда человек нуждается в любви \nи участии других, между тем как подобным законом природы, \nвозникшим из его собственной воли, он отнял бы у самого себя \nвсякую надежду на помощь, которой он себе \nжелает&#171;089\n.', 'Точно так же в &#171;Критике практического \nразума&#187;, ч. I, кн. I, гл. 2, с. 123 (R., с. 192): &#171;&#133; если \nбы каждый считал себя вправе&#133; с полным \nравнодушием смотреть на несчастье другого, и если бы ты \nпринадлежал к такому порядку вещей, то поступал бы ты так в \nсогласии со своей волей?&#187;<a href=""#b090"" \nname=""t090"">090\n &#171;Quam temere in nosmet legem sancimus iniquam!']"	понимать	modals	True		philosophy
41	С другой стороны , в подобном случае при нашем вопросе : & # 171 ; Что мне делать ? & # 187 ; & # 151 ; у вопрошаемого часто не явится никакой иной мысли , кроме как о том , что надлежало бы нам делать соответственно его целям ; это он тогда и ответит сразу и как бы механически , даже и не подумав о наших целях , так как ответ непосредственно диктуется его волей , еще прежде чем вопрос мог предстать на решение его действительного суждения .	о наших целях , так как ответ непосредственно диктуется его волей , еще прежде чем вопрос мог предстать на решение его действительного суждения .	['То, что мы \nпредполагаем этот образ мыслей у других, сказывается во многом, \nнапример в том, что когда мы ищем у кого-нибудь сведений или \nсовета, то мы теряем всякое доверие к его указаниям, коль скоро \nоткроем, что он может быть сколько-нибудь, хотя бы лишь немного \nи отдаленно, заинтересован в данном деле.', 'Ибо мы тогда \nтотчас начинаем предполагать, что он сделает нас средством для \nсвоих целей и потому даст свой совет не по своему разумению, \nа по своему умыслу, даже если первое будет сколь \nугодно велико, а последний сколь угодно мал. Ведь нам прекрасно \nизвестно, что кубический сантиметр умысла значит более, нежели \nкубический метр разумения.']	подумав	negation	False	past	philosophy
42	) ; с . 377 : & # 171 ; Я могу и вправе заботиться о себе самом лишь потому поскольку я орудие нравственного закона & # 187 ; ; с . 388 : & # 171 ; Защищать преследуемого опасностью для собственной жизни , это & # 151 ; абсолютная обязанность : коль скоро человеческая жизнь в опасности , вы не вправе более думать о своей собственной безопасности & # 187 ; ; с . 420 : & # 171 ; Нет иного взгляда на моего ближнего в области нравственного закона , кроме того , что он орудие разума & # 187 ; .	о своей собственной безопасности & # 187 ; ; с . 420 : & # 171 ; Нет иного взгляда на моего ближнего в области нравственного закона , кроме того , что он орудие разума & # 187 ; .	['с. 371); р. \n376.', '&#171;Всякое человеческое тело &#151; орудие для служения \nразумной цели; поэтому моею целью должна быть возможно \nбольшая пригодность всякого орудия для этого; я должен, \nследовательно, заботиться о каждом&#187; (так выводит он \nчеловеколюбие!']	думать	negation	False		philosophy
43	& # 151 ; Ред . Мы впали бы в большую и свойственную юному возрасту ошибку , если бы стали думать , что все справедливые и согласные с законом поступки человека имеют моральное происхождение .	что все справедливые и согласные с законом поступки человека имеют моральное происхождение .	['Оно заслуживает поэтому тщательного разбора, хотя было бы \nпроще отделаться от него инквизиторским взглядом в сторону \nсовести тех, у кого могла явиться подобная мысль.', '* &#171;&#133; Нет ни блага, ни зла по природе,   \nно суд об этом выносит человеческий ум&#187;, по словам \nТимона128\n (греч.).']	думать	condition	False		philosophy
44	Но естественное право не знает никакой иной собственности , кроме приобретенной личным трудом , посягательство на которую есть вместе с тем посягательство на вложенные в нее силы владельца , таким образом у него похищаемые .	никакой иной собственности , кроме приобретенной личным трудом , посягательство на которую есть вместе с тем посягательство на вложенные в нее силы владельца , таким образом у него похищаемые .	['Ибо чисто \nэтические мотивы к честности, предполагая, что они существуют, \nмогут найти себе применение в отношении к гражданской \nсобственности по большей части лишь очень окольным путем.', 'Именно: прежде всего и непосредственно они могут относиться \nтолько к естественному праву; к положительному же \n&#151; лишь косвенно, насколько именно оно основано на \nестественном.']	знает	negation	True	pres	philosophy
45	Кому она , как не содержащая никакой априорной конструкции , никакого абсолютного законодательства для всех разумных существ in abstracto , кажется недостаточно важной , кафедральной и академичной , тот пусть вернется к категорическим императивам , к шибболету & # 171 ; человеческое достоинство & # 187 ; & # 151 ; к пустым фразам , фантомам и мыльным пузырям школ , к принципам , над которыми на каждом шагу издевается опыт и о которых вне аудиторий ни один человек ничего не знает , никогда их в себе не чувствуя .	, никогда их в себе не чувствуя .	['Импульс этот, вместе с \nвосприимчивостью к нему, будет последней основою моральности, \nа знание его &#151; фундаментом морали.', 'Вот скромная задача, \nкоторую я указываю для этики.']	знает	negation	True	pres	philosophy
46	Кому она , как не содержащая никакой априорной конструкции , никакого абсолютного законодательства для всех разумных существ in abstracto , кажется недостаточно важной , кафедральной и академичной , тот пусть вернется к категорическим императивам , к шибболету & # 171 ; человеческое достоинство & # 187 ; & # 151 ; к пустым фразам , фантомам и мыльным пузырям школ , к принципам , над которыми на каждом шагу издевается опыт и о которых вне аудиторий ни один человек ничего не знает , никогда их в себе не чувствуя .	.	['Импульс этот, вместе с \nвосприимчивостью к нему, будет последней основою моральности, \nа знание его &#151; фундаментом морали.', 'Вот скромная задача, \nкоторую я указываю для этики.']	чувствуя	negation	False	pres	philosophy
47	И что Арнольд Винкельрид < a href= '' # b138 '' name= '' t138 '' > 138 , воскликнув : & # 171 ; Верные , дорогие союзники , озаботьтесь о моей вдове и ребенке & # 187 ; , а затем обняв столько вражеских копий , сколько мог захватить , имел при этом своекорысгную цель , & # 151 ; это пусть думает , кто может ; я же этого не в состоянии думать .	.	['Но такие люди есть.', 'Равным бразом со мною, думаю я, согласятся, \nчто иные помогают и дают, оказывают услуги и отказываются от \nсвоего, не имея в душе своей никакого иного умысла, кроме того, \nчтобы была оказана помощь другому, видимо в ней нуждающемуся.']	думать	negation	False		philosophy
48	Мы страдаем с ним , стало быть , в нем ; мы чувствуем его боль именно как его боль и не воображаем , будто эта боль наша ; даже чем счастливее наше собственное состояние и в чем большем контрасте поэтому сознание последнего стоит с положением другого , тем мы восприимчивее к состраданию .	, будто эта боль наша ; даже чем счастливее наше собственное состояние и в чем большем контрасте поэтому сознание последнего стоит с положением другого , тем мы восприимчивее к состраданию .	['&#151; \nРед.   \n\nВследствие данного выше представления о сострадании как о \nнепосредственной мотивации страданием другого я должен также \nотнестись отрицательно к часто повторявшемуся потом \nзаблуждению Кассины (&#171;Saggio analitico sulla \ncompassione&#187;, 1788; немецкий перевод Поккельса, \n1790)141\n, который полагает, будто сострадание возникает благодаря \nмгновенному обману фантазии, так как де мы переносим себя самих \nна место страдающего и таким образом в воображении делаем \nсвою личность носительницей его боли.', 'Это вовсе не \nтак: в нас именно каждое мгновение сохраняется ясное сознание, \nчто страдает он, а не мы, и именно в его лице, а не в \nсвоем, чувствуем мы страдание, к нашему огорчению.']	воображаем	negation	False	pres	philosophy
49	& # 151 ; Ред . * * * * & # 171 ; Никому благомыслие не досталось сразу же , & # 151 ; у всех дух был раньше захвачен злом & # 187 ; < a href= '' # b142 '' name= '' t142 '' > 142 ( лam ) & # 151 ; Ред Эти соображения , надо надеяться , ясно показывают , что , как это ни странно с первого взгляда , во всяком случае и справедливость как подлинная , свободная добродетель имеет свое начало в сострадании .	, ясно показывают , что , как это ни странно с первого взгляда , во всяком случае и справедливость как подлинная , свободная добродетель имеет свое начало в сострадании .	['&#151; Ред.    \n** видовым отличием (лат.).', '&#151; Ред.    \n*** право первого захвата (лат.).']	надеяться	modals	False		philosophy
50	В противном случае человек , делающий добро , должен был бы думать , что он заключает какую-то молчаливую сделку .	что он заключает какую-то молчаливую сделку .	['Ее место заступает тогда \nблагодарность за то, что родители сделали больше, нежели того \nтребовала их строгая обязанность.', 'Однако каким отвратительным, \nчасто даже возмутительным пороком ни представляется \nнеблагодарность, благодарность все-таки нельзя назвать \nобязанностью, так как ее отсутствие не есть ущемление \nдругого, не есть, стало быть, несправедливость.']	думать	modals	False		philosophy
51	* & # 171 ; Помогай всем , насколько можешь & # 187 ; ( лат ) & # 151 ; Ред . * * & # 171 ; Пусть левая рука твоя не знает , что делает правая & # 187 ; < a href= '' # b158 '' name= '' t158 '' > 158 ( греч . ) .	что делает правая & # 187 ; < a href= '' # b158 '' name= '' t158 '' > 158 ( греч . ) .	"[""(&#171;No siempre el peor'es cierto&#187;; Jornada II, s."", '22***.)']"	знает	negation	True	pres	philosophy
52	Он ежедневно происходит на наших глазах в частностях , в мелочах & # 151 ; всюду , где по непосредственному побуждению , не долго думая , человек помогает и спешит на выручку другому , даже иной раз очевиднейшей опасности подвергает свою жизнь за того , кого он впервые видит , не принимая при этом в расчет ничего иного , кроме того именно , что он видит большую нужду и опасность другого .	, человек помогает и спешит на выручку другому , даже иной раз очевиднейшей опасности подвергает свою жизнь за того , кого он впервые видит , не принимая при этом в расчет ничего иного , кроме того именно , что он видит большую нужду и опасность другого .	['И тем не \nменее он совершается повседневно.', 'Всякий часто переживал его на \nсебе самом, ему не остался чужд даже человек с самым черствым \nсердцем и самый себялюбивый.']	думая	negation	False	pres	philosophy
53	Быть может , тот : как можно так мало бояться кар будущей жизни ?	кар будущей жизни	['Причина этого &#151; \nта, что жестокость &#151; прямая противоположность состраданию.', 'Когда мы получаем известие о каком-нибудь очень жестоком \nпоступке, как, например, только что сообщенное в газетах о матери, \nкоторая умертвила своею пятилетнего мальчика тем, что влила ему \nв глотку кипящее масло, а своего младшего ребенка тем, что \nзакопала его живым, или пришедшее на днях из Алжира известие о \nтом, что после случайной ссоры и борьбы между испанцем и \nалжирцем последний, как более сильный, начисто вырвал у первого \nвсю нижнюю челюсть и, оставив его в живых, унес ее как трофей, \n&#151; тогда нас охватывает ужас, и мы восклицаем: &#171;Как \nможно делать что-либо подобное?&#187; Каков смысл этого \nвопроса?']	бояться	question	False		philosophy
54	Это мы видим прежде всего в том , что , несмотря на большую разницу существующих на земле религий , степень моральности или , скорее , имморальности отнюдь не обнаруживает соответственной тому разницы , а в сущности , приблизительно всюду та же .	соответственной тому разницы , а в сущности , приблизительно всюду та же .	['Доброе дело, совершенное просто на основании \nкантовского морального принципа, было бы, в сущности, продуктом \nфилософского педантизма или же сводилось бы к самообману, так \nкак разум действующего лица представлял бы как результат \nкатегорического императива и ни на что не опирающегося понятия \nдолга такое действие, для которого были иные, быть может, более \nблагородные импульсы.', 'Но доказать решительную действенность \nрелигиозных моральных принципов, не только философских, \nрассчитанных на одну теорию, но даже и составленных всецело для \nпрактического употребления, можно лишь в редких случаях.']	обнаруживает	negation	True	pres	philosophy
55	Наоборот , если мы попытаемся сказать : & # 171 ; Это человек добродетельный , но он не знает сострадания & # 187 ; , или : & # 171 ; Это несправедливый и злой человек , однако он очень сострадателен & # 187 ; , & # 151 ; то в этих словах почувствуется противоречие .	сострадания & # 187 ; , или : & # 171 ; Это несправедливый и злой человек , однако он очень сострадателен & # 187 ; , & # 151 ; то в этих словах почувствуется противоречие .	['&#151; Ред.   \n\n4) Ибо безграничное сострадание ко всем живым существам \n&#151; это наиболее прочное и надежное ручательство за \nнравственно добропорядочное поведение, и оно не нуждается ни в \nкакой казуистике.', 'Кто им полон, тот наверняка никого не обидит, не \nнанесет никому ущерба, никому не причинит горя, напротив, со \nвсяким будет считаться, всякому прощать, всякому, насколько в его \nсилах, помогать, и все его действия будут носить печать \nсправедливости и человеколюбия.']	знает	negation	True	pres	philosophy
56	Вкусы различны , но , по мне , я не знаю более прекрасной молитвы , чем та , какой кончаются древнеиндийские пьесы ( как в прежние времена английские кончались молитвой за короля ) .	более прекрасной молитвы , чем та , какой кончаются древнеиндийские пьесы ( как в прежние времена английские кончались молитвой за короля ) .	['Кто им полон, тот наверняка никого не обидит, не \nнанесет никому ущерба, никому не причинит горя, напротив, со \nвсяким будет считаться, всякому прощать, всякому, насколько в его \nсилах, помогать, и все его действия будут носить печать \nсправедливости и человеколюбия.', 'Наоборот, если мы попытаемся \nсказать: &#171;Это человек добродетельный, но он не знает \nсострадания&#187;, или: &#171;Это несправедливый и злой \nчеловек, однако он очень сострадателен&#187;, &#151; то в этих \nсловах почувствуется противоречие.']	знаю	negation	True	pres	philosophy
57	Так как древние языки не знают подобной двойственности выражений , а откровенно отмечают ту же вещь тем же словом , то эта жалкая уловка , несомненно , есть дело европейских попов , которые в своем невежестве не считают никаких средств достаточными при отрицании и поношении вечной сущности , живущей во всех животных : этим они положили начало обычной в Европе грубости и жестокости по отношению к животным , на которую житель Верхней Азии может взирать лишь со справедливым отвращением .	подобной двойственности выражений , а откровенно отмечают ту же вещь тем же словом , то эта жалкая уловка , несомненно , есть дело европейских попов , которые в своем невежестве не считают никаких средств достаточными при отрицании и поношении вечной сущности , живущей во всех животных : этим они положили начало обычной в Европе грубости и жестокости по отношению к животным , на которую житель Верхней Азии может взирать лишь со справедливым отвращением .	['Если бы такой картезианец очутился в когтях у тигра, он самым \nясным образом понял бы, какое резкое различие тот полагает между \nсвоим &#171;я&#187; и &#171;не-я&#187;.', 'В соответствии с такой \nсофистикой философов мы находим в обыденной сфере ту \nособенность иных языков, особенно немецкого, что они для еды, \nпитья, беременности, родов, смерти и трупа животных имеют \nсовершенно особые слова, чтобы не приходилось употреблять те, \nкакими обозначаются эти акты у человека, и таким способом \nразница слов прикрывала полное тождество вещей.']	знают	negation	True	pres	philosophy
58	Помнится , я читал , что один англичанин , застреливший в Индии на охоте обезьяну , никогда не мог забыть взгляда , какой она бросила на него , умирая , и с тех пор он никогда уже не стрелял по обезьянам .	, какой она бросила на него , умирая , и с тех пор он никогда уже не стрелял по обезьянам .	['И сострадание это указывает для себя один и тот же \nисточник с добродетелью, какая должна практиковаться по \nотношению к людям.', 'Так, например, тонко чувствующие лица при \nвоспоминании о том, что они в дурном настроении, в гневе либо под \nвлиянием винных паров незаслуженно, или без нужды, или сверх \nмеры побили свою собаку, свою лошадь, свою обезьяну, \nиспытывают такое же раскаяние, такое же недовольство собою, \nкакое появляется при воспоминании о несправедливости, \nпричиненной людям, &#151; когда его называют голосом карающей \nсовести.']	забыть	negation	True		philosophy
59	В Азии религии дают животным достаточную защиту , и потому там никто не думает о подобного рода обществах .	о подобного рода обществах .	['Эта \nтонко чувствующая английская нация перед всеми прочими \nотличается выдающимся состраданием к животным, которое \nсказывается при любой возможности и имело достаточно силы, \nчтобы, вопреки принижающему ее в иных отношениях \n&#171;холодному суеверию&#187;, побудить ее к заполнению \nпутем законодательства пробела, оставленного в морали религией.', 'Ибо пробел этот и есть причина, почему в Европе и Америке \nпонадобились общества для охраны животных, которые даже и \nдействовать могут только с помощью юстиции и полиции.']	думает	negation	False	pres	philosophy
60	Его члены организуют тайный надзор , чтобы затем выступать обвинителями тех , кто мучит бессловесных , чувствующих существ , & # 151 ; и их присутствия надо бояться всюду * * * .	всюду * * * .	['К чести англичан надо поэтому \nсказать, что у них впервые закон вполне серьезно и животных \nпринял под свою защиту против жестокого обращения, и злодей \nдействительно должен расплачиваться за свое варварство по \nотношению к животным, даже если они ему принадлежат.', 'Мало \nтого, недовольное этим одним, в Лондоне существует общество, \nдобровольно образовавшееся для защиты животных &#171;Society \nfor the prevention of cruelty to animals&#187;**, которое частными \nсредствами, со значительными издержками делает очень много, \nчтобы противодействовать жестокости с животными.']	бояться	modals	False		philosophy
61	Требование это и здесь поднимает вопрос , почему существующее и понятое имеет тот , а не иной вид и каким образом изложенный характер явления вытекает из внутренней сущности вещей ?	имеет тот , а не иной вид и каким образом изложенный характер явления вытекает из внутренней сущности вещей	['Как в конце всякого \nисследования и всякой реальной науки, так и тут он стоит перед \nпервофеноменом, который, правда, объясняет все им охватываемое \nи из него следующее, но сам остается без объяснения и представляет \nзагадку.', 'И здесь, стало быть, выступает на сцену требование \nметафизики, т.е.последнего объяснения \nпервофеноменов как таковых и, если взять их во всей их \nсовокупности, мира.']	понятое	question	True	past	philosophy
62	: & # 171 ; Я уже не раз замечал , что знатоки дела часто не знают лучшего в своем деле & # 187 ; ( Лихтенберг Г.К.Афоризмы .	лучшего в своем деле & # 187 ; ( Лихтенберг Г.К.Афоризмы .	['С. 95.', '060Ср.']	знают	negation	True	pres	philosophy
